Player,Predicted_3P%,TEAM
Kyshawn George,0.34698819913671824,WAS
LaMelo Ball,0.34893570932050916,CHA
Lamar Stevens,0.34640861416802493,MEM
Landry Shamet,0.344670747898394,NYK
Larry Nance Jr.,0.3995297541492431,ATL
Lauri Markkanen,0.37642594152921527,UTA
LeBron James,0.3752580177361351,LAL
Leonard Miller,0.0,MIN
Lester Quinones,0.0,NOP
Liam Robbins,0.0,MIL
Lindy Waters III,0.34418311710700883,DET
Lonnie Walker IV,0.3450024773775071,PHI
Lonzo Ball,0.35123697481554716,CHI
Luguentz Dort,0.3884410418211448,OKC
Luka Dončić,0.3677376229413575,LAL
Luka Garza,0.2814318523811621,MIN
Luke Kennard,0.41695344589286215,MEM
Luke Kornet,0.05046591545860049,BOS
Luke Travers,0.0,CLE
Mac McClung,0.0,ORL
Malachi Flynn,0.2909076658172072,CHA
Malaki Branham,0.37023320368091867,SAS
Malcolm Brogdon,0.31580948222427724,WAS
Malevy Leons,0.0,OKC
Malik Beasley,0.3889585130233676,DET
Malik Monk,0.3838352404599101,SAC
MarJon Beauchamp,0.3231092312625711,NYK
Marcus Garrett,0.3747146846240531,CHA
Marcus Sasser,0.3806413277004491,DET
Marcus Smart,0.3478357457953163,WAS
Mark Williams,0.26338649431294225,CHA
Markelle Fultz,0.511608820251477,SAC
Markieff Morris,0.2564493420571228,LAL
Marvin Bagley III,0.19564591594202166,MEM
Mason Jones,0.12978869776394616,SAC
Mason Plumlee,0.029607983919577502,PHX
Matas Buzelis,0.3562044471023338,CHI
Matisse Thybulle,0.15319991208281036,POR
Matt Ryan,0.29493739182233114,NYK
Max Christie,0.3829593627715166,DAL
Max Strus,0.39001532783571086,CLE
Maxi Kleber,0.2939284243347695,LAL
Maxwell Lewis,0.5165329646387913,BKN
Micah Potter,0.36132583940777707,UTA
Michael Porter Jr.,0.3904863647659607,DEN
Mikal Bridges,0.4119960779260874,NYK
Mike Conley,0.3642297896397298,MIN
Miles Bridges,0.3796252303337073,CHA
Miles McBride,0.36696838332637344,NYK
Miles Norris,6.218905472636816e-06,BOS
Mitchell Robinson,0.010712822644309714,NYK
Mo Bamba,0.3081162094365778,NOP
Monté Morris,0.32775070953530905,PHX
Moritz Wagner,0.3554708684997995,ORL
Moses Brown,0.01150509961344038,DAL
Moses Moody,0.38639121761154094,GSW
Mouhamed Gueye,0.275895230682495,ATL
Moussa Diabaté,0.11703181278402094,CHA
Myles Turner,0.38993314947970104,IND
N'Faly Dante,0.00017836543485250385,HOU
Nae'Qwan Tomlin,0.0,CLE
Naji Marshall,0.32376746839995535,DAL
Nate Williams,0.28014217287518584,HOU
Naz Reid,0.39384092196180825,MIN
Neemias Queta,0.14247295021581804,BOS
Nic Claxton,0.12102471357773295,BKN
Nick Richards,0.05128879066030132,PHX
Nick Smith Jr.,0.35596380811210226,CHA
Nickeil Alexander-Walker,0.3915573995204656,MIN
Nicolas Batum,0.3910655858741937,LAC
Nikola Jokić,0.3767659598628706,DEN
Nikola Jović,0.3989686369214907,MIA
Nikola Vučević,0.3882426167035222,CHI
Noah Clowney,0.35170438049106517,BKN
Norman Powell,0.3980582419577884,LAC
OG Anunoby,0.3884983765594654,NYK
Obi Toppin,0.40466424763304737,IND
Ochai Agbaji,0.4143778702651776,TOR
Olivier-Maxence Prosper,0.20822441387306234,DAL
Onyeka Okongwu,0.3060470295285333,ATL
Orlando Robinson,0.22953476843110338,TOR
Oscar Tshiebwe,0.005137584549071618,UTA
Oshae Brissett,0.4038478790925739,PHI
Oso Ighodaro,0.03902267147909776,PHX
Ousmane Dieng,0.32837842800915723,OKC
P.J. Tucker,6.218905472636816e-06,NYK
