Player,Predicted_3PA,TEAM
Trey Alexander,0.5660562256322412,DEN
Trey Jemison III,0.03935913519738124,LAL
Trey Lyles,3.4363428583334157,SAC
Trey Murphy III,8.36374745393309,NOP
Tristan Thompson,0.0967646372788815,CLE
Tristan Vukcevic,2.763817208742128,WAS
Tristan da Silva,3.285424656595141,ORL
Tristen Newton,0.343943425306196,MIN
Ty Jerome,3.601235923301656,CLE
TyTy Washington Jr.,1.4496470615543529,PHX
Tyler Herro,9.239410093205755,MIA
Tyler Kolek,0.8337934439106334,NYK
Tyler Smith,1.082605071627691,MIL
Tyrese Haliburton,7.823203442053681,IND
Tyrese Martin,4.636294134742635,BKN
Tyrese Maxey,8.757766017992678,PHI
Tyus Jones,5.009402211951334,PHX
Ulrich Chomche,0.15776623127704015,TOR
Vasilije Micić,3.367168439777624,PHX
Victor Wembanyama,8.601836929769176,SAS
Vince Williams Jr.,3.2517801804363518,MEM
Vlatko Čančar,0.6802402643357709,DEN
Vít Krejčí,3.8167599199318865,ATL
Walker Kessler,0.4659361837688735,UTA
Wendell Carter Jr.,2.2200066312960716,ORL
Wendell Moore Jr.,0.8762802351397588,CHA
Xavier Tillman,0.9893240215744264,BOS
Yuki Kawamura,0.8317264855602453,MEM
Yuri Collins,0.45362308453849437,GSW
Yves Missi,0.036936527525481,NOP
Zaccharie Risacher,4.27632258237222,ATL
Zach Collins,1.704494491195072,CHI
Zach Edey,0.8145682797234397,MEM
Zach LaVine,7.617964216891739,SAC
Zeke Nnaji,0.956163560008034,DEN
Ziaire Williams,4.913655300044297,BKN
Zion Williamson,0.458271023686185,NOP
Zyon Pullin,0.07273437176633614,MEM
