Player,Predicted_3P,TEAM
Kai Jones,-4.6832955544027416e-05,DAL
Karl-Anthony Towns,2.1009080451416464,NYK
Karlo Matković,0.3806544372394524,NOP
Kawhi Leonard,2.0138086030376616,LAC
Keaton Wallace,0.9343567199857304,ATL
Keegan Murray,1.9381780051559727,SAC
Keion Brooks Jr.,0.007227255448586574,NOP
Kel'el Ware,0.5669802887743116,MIA
Keldon Johnson,1.1721085753323757,SAS
Kelly Olynyk,0.7818359347486443,NOP
Kelly Oubre Jr.,1.1580012898897052,PHI
Kenrich Williams,0.9280627040546384,OKC
Kentavious Caldwell-Pope,1.4118542548522788,ORL
Keon Ellis,1.6811633621545403,SAC
Keon Johnson,1.5502894536373915,BKN
Keshad Johnson,0.0976620718487285,MIA
Kessler Edwards,0.5682298463534923,DAL
Kevin Durant,2.5254089550527334,PHX
Kevin Huerter,1.8029895125398179,CHI
Kevin Knox II,0.4393410147002731,GSW
Kevin Love,1.0796773963338446,MIA
Kevin Porter Jr.,0.6514464246707271,MIL
Kevon Looney,-0.0004989010273586745,GSW
Keyonte George,2.5766457194731425,UTA
Khris Middleton,1.352091498484769,WAS
Killian Hayes,1.3389253812358457,BKN
Klay Thompson,3.0827288770180012,DAL
Kobe Brown,0.12082877651821501,LAC
Kobe Bufkin,0.39505564956101596,ATL
Kris Dunn,0.8733749825488737,LAC
Kris Murray,0.389681363419482,POR
Kristaps Porziņģis,2.3105435407245505,BOS
Kyle Anderson,0.4217753064032419,MIA
Kyle Filipowski,1.0082263483598182,UTA
Kyle Kuzma,1.3870966903798243,MIL
Kyle Lowry,0.8278390549511976,PHI
Kylor Kelley,-0.0009483267273422527,DAL
Kyrie Irving,2.8848503725111185,DAL
Kyshawn George,1.7078140226100929,WAS
LaMelo Ball,4.012968542625717,CHA
Lamar Stevens,0.5627329166016461,MEM
Landry Shamet,0.6924791157175586,NYK
Larry Nance Jr.,1.4243498280882165,ATL
Lauri Markkanen,2.9657730192987493,UTA
LeBron James,2.2925095852162216,LAL
Leonard Miller,0.0004110811728104625,MIN
Lester Quinones,-0.0038046064833781156,NOP
Liam Robbins,0.0002206324030537016,MIL
Lindy Waters III,1.1638484426039217,DET
Lonnie Walker IV,1.5486415111328706,PHI
Lonzo Ball,1.9211965472208306,CHI
Luguentz Dort,2.2163521621113143,OKC
Luka Dončić,3.3588194421731776,LAL
Luka Garza,0.3099526586151957,MIN
Luke Kennard,1.8536603362722874,MEM
Luke Kornet,-0.0004989010273586745,BOS
Luke Travers,0.00920276655946687,CLE
Mac McClung,0.0002261492629042036,ORL
Malachi Flynn,0.25890476035648924,CHA
Malaki Branham,0.6286689192652697,SAS
Malcolm Brogdon,0.6616591648045652,WAS
Malevy Leons,-0.0016037970428471253,OKC
Malik Beasley,3.7993670931586836,DET
Malik Monk,2.250338812716299,SAC
MarJon Beauchamp,0.32382374105261263,NYK
Marcus Garrett,0.7544149405124795,CHA
Marcus Sasser,0.8696737719542823,DET
Marcus Smart,1.4371881816627026,WAS
Mark Williams,-0.0001558212710291232,CHA
Markelle Fultz,0.1644571749939524,SAC
Markieff Morris,0.6018139046526769,LAL
Marvin Bagley III,0.11846110110029745,MEM
Mason Jones,0.10931955583998534,SAC
Mason Plumlee,-0.000758972762190692,PHX
Matas Buzelis,0.9415095366852817,CHI
Matisse Thybulle,0.35261626069632473,POR
Matt Ryan,0.3146414035503666,NYK
Max Christie,1.4839347884221432,DAL
Max Strus,2.280232649363801,CLE
Maxi Kleber,0.37850631770671994,LAL
Maxwell Lewis,0.5416241887533414,BKN
Micah Potter,0.8681123848500698,UTA
Michael Porter Jr.,2.520096774601369,DEN
Mikal Bridges,2.075402170188383,NYK
Mike Conley,1.8237157443465744,MIN
Miles Bridges,2.361442424904429,CHA
Miles McBride,1.7344896404050483,NYK
Miles Norris,-0.0008804354318105565,BOS
Mitchell Robinson,-0.0009483267273422527,NYK
Mo Bamba,0.46714899255077647,NOP
Monté Morris,0.6436400833589873,PHX
Moritz Wagner,0.8860681363152861,ORL
Moses Brown,-2.7543728301108526e-05,DAL
Moses Moody,1.7420247598351726,GSW
Mouhamed Gueye,0.7527266032034546,ATL
Moussa Diabaté,-0.00036758699549952715,CHA
Myles Turner,2.101955489237612,IND
N'Faly Dante,-0.0009483267273422527,HOU
Nae'Qwan Tomlin,-0.0014315206523859765,CLE
Naji Marshall,0.9039899455138346,DAL
Nate Williams,0.2924330582276316,HOU
Naz Reid,2.326752681589451,MIN
Neemias Queta,-0.00011843800093471522,BOS
Nic Claxton,0.010288766238978413,BKN
Nick Richards,-0.00024975203279386257,PHX
Nick Smith Jr.,1.5810132592800956,CHA
Nickeil Alexander-Walker,1.7177349924696736,MIN
Nicolas Batum,1.061552996145628,LAC
Nikola Jokić,1.8955365387882528,DEN
Nikola Jović,1.7140420963449128,MIA
Nikola Vučević,1.8186173667435859,CHI
Noah Clowney,1.9034590882730003,BKN
Norman Powell,3.174744921874895,LAC
OG Anunoby,2.1783330656008304,NYK
Obi Toppin,1.222819280116473,IND
Ochai Agbaji,1.5057390346445743,TOR
Olivier-Maxence Prosper,0.22806349796266745,DAL
Onyeka Okongwu,0.5340695150057508,ATL
Orlando Robinson,0.22734669139875982,TOR
Oscar Tshiebwe,-0.0009483267273422527,UTA
Oshae Brissett,1.1766382146824672,PHI
Oso Ighodaro,-0.00024975203279386257,PHX
Ousmane Dieng,0.6113532644581264,OKC
P.J. Tucker,-0.0008804354318105565,NYK
P.J. Washington,1.5305925886956913,DAL
PJ Dozier,0.2096303163501193,MIN
PJ Hall,0.08281494588166201,DEN
Pacôme Dadiet,0.39307550904401445,NYK
Paolo Banchero,1.9558472359289716,ORL
Pascal Siakam,1.7056124708968743,IND
Pat Connaughton,0.5962122137905178,MIL
Pat Spencer,0.07117469430114882,GSW
Patrick Baldwin Jr.,0.5076356743978699,LAC
Patrick Williams,1.46255080088812,CHI
Patty Mills,0.8517996118400096,LAC
Paul George,2.2592403884788,PHI
Paul Reed,0.19637655666541182,DET
Payton Pritchard,3.2170156574912303,BOS
Pelle Larsson,0.5066558586181931,MIA
Pete Nance,0.4420374771502044,MIL
Peyton Watson,0.7308811726645348,DEN
Precious Achiuwa,0.19761879519820508,NYK
Quentin Grimes,2.045351713147338,PHI
Quenton Jackson,0.4871322758495428,IND
Quincy Olivari,0.49949603646762486,LAL
Quinten Post,1.8601065271769794,GSW
RJ Barrett,1.889855073265602,TOR
RayJ Dennis,0.11305156956183023,IND
Rayan Rupert,0.23905999267877576,POR
Reece Beekman,0.20569259269605986,BKN
Reed Sheppard,0.7055351579999753,HOU
Reggie Jackson,0.8054252804637672,PHI
Richaun Holmes,-4.6832955544027416e-05,WAS
Ricky Council IV,0.7776799388922564,PHI
Riley Minix,-0.001478936760136376,SAS
Rob Dillingham,0.5835468973339344,MIN
Robert Williams III,0.0803163617646162,POR
Ronald Holland II,0.41148326832893495,DET
Royce O'Neale,2.3696557894479513,PHX
Rudy Gobert,-0.0004989010273586745,MIN
Rui Hachimura,1.6772091648388667,LAL
Russell Westbrook,1.3257163372910037,DEN
Ryan Dunn,0.9733906058903566,PHX
Ryan Rollins,0.637626519110425,MIL
Sam Hauser,2.102482158738485,BOS
Sam Merrill,1.8606710044248396,CLE
Sandro Mamukelashvili,0.9651808794830133,SAS
Santi Aldama,1.801429486023406,MEM
Scoot Henderson,1.5559118859357206,POR
Scottie Barnes,1.1377274301550793,TOR
Scotty Pippen Jr.,0.9789063290060782,MEM
Seth Curry,1.1691120873468854,CHA
Shaedon Sharpe,1.983686506376457,POR
Shai Gilgeous-Alexander,2.128813968647501,OKC
Shake Milton,0.6897590898938444,LAL
Sidy Cissoko,0.20222395759753203,POR
Simone Fontecchio,1.03661668805199,DET
Skal Labissiere,0.2820035702001648,SAC
Spencer Dinwiddie,1.360868637947806,DAL
Spencer Jones,0.06541146769922077,DEN
Stanley Umude,0.11683333267051105,MIL
Stephen Curry,4.386014517808027,GSW
Stephon Castle,1.138479309070822,SAS
Steven Adams,-0.00024975203279386257,HOU
Svi Mykhailiuk,1.9807006290636493,UTA
T.J. McConnell,0.23064404981789452,IND
Taj Gibson,0.028512287469323078,CHA
Talen Horton-Tucker,0.728160904735408,CHI
Tari Eason,1.1325798113262706,HOU
Taurean Prince,1.8041750701157502,MIL
Taylor Hendricks,1.005459891009374,UTA
Tazé Moore,0.5077989213957305,POR
Terance Mann,0.8838699515677133,ATL
Terrence Shannon Jr.,0.34890995561532906,MIN
Terry Rozier,1.5545924273719418,MIA
Thomas Bryant,0.7402358478301777,IND
Tidjane Salaün,0.9212905060537587,CHA
Tim Hardaway Jr.,2.062399484704159,DET
Tobias Harris,1.1978492156329472,DET
Tony Bradley,0.10447052025862731,IND
Torrey Craig,1.1789113296852745,BOS
Tosan Evbuomwan,0.7647376039657031,BKN
Toumani Camara,1.6083884460297422,POR
Trae Young,2.8464255064508612,ATL
Trayce Jackson-Davis,0.00014246766919278305,GSW
Tre Jones,0.3990552581946726,CHI
Tre Mann,1.8413410885789263,CHA
Trendon Watford,0.5847746003141097,BKN
Trentyn Flowers,-0.0014304925848913888,LAC
Trevelin Queen,0.5909876674828494,ORL
Trey Alexander,0.10997981878546115,DEN
Trey Jemison III,0.00011394851780175234,LAL
Trey Lyles,1.162535423645351,SAC
Trey Murphy III,3.0013095201889497,NOP
Tristan Thompson,0.0002452625496608995,CLE
Tristan Vukcevic,0.9501219983426631,WAS
Tristan da Silva,1.1022634481500713,ORL
Tristen Newton,0.00920276655946687,MIN
Ty Jerome,1.4622021614207692,CLE
TyTy Washington Jr.,0.3066415590969403,PHX
Tyler Herro,3.4014652671158876,MIA
Tyler Kolek,0.32000686419965785,NYK
Tyler Smith,0.4187318032208593,MIL
Tyrese Haliburton,3.034833896932649,IND
Tyrese Martin,1.5904725964508828,BKN
Tyrese Maxey,3.019711220742867,PHI
Tyus Jones,2.1119231437285158,PHX
Ulrich Chomche,-0.0009954357584327322,TOR
Vasilije Micić,1.198399764665646,PHX
Victor Wembanyama,3.0718407684382845,SAS
Vince Williams Jr.,0.8754000967715617,MEM
Vlatko Čančar,0.22509073351828307,DEN
Vít Krejčí,1.500700930955728,ATL
Walker Kessler,0.08481848013515875,UTA
Wendell Carter Jr.,0.4964271848257835,ORL
Wendell Moore Jr.,0.34160692900020584,CHA
Xavier Tillman,0.1682165677550542,BOS
Yuki Kawamura,0.20696908888278837,MEM
Yuri Collins,-0.0014085750215719532,GSW
Yves Missi,-0.0004989010273586745,NOP
Zaccharie Risacher,1.5396142614860382,ATL
Zach Collins,0.5131619767582603,CHI
Zach Edey,0.2915596835657224,MEM
Zach LaVine,3.1652756301623666,SAC
Zeke Nnaji,0.28782138595839474,DEN
Ziaire Williams,1.669719961838585,BKN
Zion Williamson,0.10134799085063384,NOP
Zyon Pullin,-0.0008804354318105565,MEM
